Brand,Screen Size,RAM,Storage,Price (USD),Camera (MP),Marketing Budget (USD),Region,Quarter,Units Sold (millions)
Xiaomi,5.0,2,128,900,16,5000,Asia,Q3,110
Samsung,6.8,4,256,1000,108,500,Europe,Q1,399
Motorola,4.7,2,1024,1400,64,20000,Europe,Q4,783
Sony,5.5,12,512,1100,24,500,Africa,Q3,374
Motorola,4.5,16,256,900,24,2000,North America,Q4,295
Apple,5.2,4,32,500,64,10000,North America,Q2,812
Google,5.0,2,256,800,24,1000,Oceania,Q4,802
Huawei,7.0,8,32,900,20,500,North America,Q4,414
OnePlus,5.0,12,32,500,64,500,Africa,Q3,540
Google,6.2,8,128,800,48,20000,Asia,Q4,474
Sony,6.5,8,512,1000,108,100,South America,Q2,660
Motorola,6.0,2,128,400,24,2000,South America,Q1,408
Huawei,7.0,6,32,600,64,500,South America,Q3,568
Xiaomi,7.0,12,512,1100,16,500,South America,Q3,151
Huawei,6.0,2,64,1200,20,2000,Africa,Q4,349
Oppo,4.7,16,64,200,16,5000,North America,Q4,998
LG,6.0,12,128,500,64,100,Africa,Q3,834
Apple,6.2,2,1024,1200,48,2000,Africa,Q4,280
Google,6.9,2,128,300,108,2000,South America,Q1,884
OnePlus,4.5,4,1024,1200,32,1000,Oceania,Q2,611
Oppo,6.2,3,32,1500,16,100,Africa,Q4,295
Oppo,4.5,16,128,800,8,5000,Oceania,Q4,357
LG,7.0,12,64,400,108,100,Africa,Q3,355
Oppo,4.5,2,32,900,108,2000,Oceania,Q1,263
Motorola,5.0,12,512,500,32,500,North America,Q2,632
Oppo,6.5,12,256,500,48,500,North America,Q3,620
OnePlus,5.2,3,512,1000,24,500,North America,Q4,109
Oppo,6.0,8,128,1000,32,20000,Africa,Q2,866
Samsung,6.9,6,64,1500,8,20000,North America,Q2,287
Sony,4.7,6,64,1000,8,2000,Oceania,Q3,131
OnePlus,5.0,16,128,700,8,100,Africa,Q2,517
Oppo,5.5,16,512,300,12,20000,Europe,Q3,899
Xiaomi,5.8,3,1024,800,32,100,North America,Q3,573
OnePlus,6.5,12,1024,900,48,20000,Oceania,Q3,747
Google,6.9,6,32,900,48,1000,Africa,Q3,661
Google,4.7,2,32,100,16,20000,North America,Q4,881
Samsung,6.4,16,512,700,24,20000,Africa,Q2,482
Samsung,5.2,16,1024,700,20,500,Oceania,Q2,465
Xiaomi,4.7,12,1024,500,20,20000,South America,Q4,271
Google,5.2,12,128,700,12,5000,South America,Q4,993
Samsung,6.0,3,256,700,8,5000,North America,Q3,743
Samsung,7.0,3,64,1400,24,2000,Europe,Q4,882
Apple,6.4,12,512,1200,16,2000,Africa,Q2,395
Sony,6.2,12,1024,600,32,20000,Oceania,Q2,926
Apple,6.4,12,512,700,48,5000,South America,Q4,328
Xiaomi,5.0,8,512,400,24,2000,Oceania,Q2,665
Google,6.9,12,32,1200,108,1000,Asia,Q4,719
OnePlus,6.4,12,512,600,48,1000,North America,Q4,227
Oppo,6.4,8,1024,900,64,500,South America,Q2,233
Xiaomi,6.5,12,1024,200,108,100,North America,Q2,185
LG,6.4,4,128,1000,108,5000,Oceania,Q2,527
Apple,6.5,8,64,800,16,100,North America,Q2,594
Oppo,5.5,12,128,1400,16,10000,North America,Q1,214
Apple,4.7,3,64,500,20,1000,Oceania,Q1,277
OnePlus,6.4,8,128,1200,108,20000,Africa,Q1,236
Oppo,5.0,3,512,1300,16,5000,South America,Q4,520
Sony,6.5,4,64,600,12,1000,Asia,Q2,441
Xiaomi,4.5,4,256,1100,108,20000,Oceania,Q1,743
Sony,6.7,3,256,900,16,2000,Asia,Q3,799
Huawei,6.9,2,64,600,108,5000,Asia,Q1,656
Oppo,5.0,4,256,900,24,500,Asia,Q4,804
Google,5.0,6,32,100,12,1000,North America,Q1,263
Sony,6.2,2,64,500,16,20000,Oceania,Q3,924
Sony,7.0,6,512,500,64,500,South America,Q3,931
Xiaomi,5.2,6,32,1500,12,20000,Asia,Q3,196
Sony,6.9,12,32,1200,24,2000,Oceania,Q2,326
Google,4.7,2,1024,1500,48,1000,North America,Q3,698
Sony,6.9,4,128,700,8,1000,South America,Q2,336
Motorola,4.5,2,256,1200,24,5000,North America,Q2,379
Samsung,6.2,12,1024,800,16,1000,North America,Q1,468
Motorola,5.2,8,32,700,108,500,Europe,Q4,596
Apple,7.0,12,512,500,16,2000,Oceania,Q4,296
Samsung,6.2,16,512,1500,108,500,Asia,Q1,426
Huawei,5.8,2,32,700,24,5000,Oceania,Q2,107
Apple,6.9,4,64,800,64,100,Asia,Q2,448
Motorola,6.7,8,64,500,48,5000,South America,Q2,460
LG,6.5,2,128,900,24,5000,Oceania,Q1,719
Huawei,5.2,12,512,1200,16,1000,Africa,Q1,731
Google,6.8,8,32,400,48,5000,South America,Q1,855
Google,6.8,6,256,1000,12,1000,Oceania,Q4,535
Oppo,6.2,2,32,400,64,100,Asia,Q4,158
Samsung,5.5,8,32,1400,108,100,Europe,Q1,946
Oppo,5.8,4,512,1000,108,500,Oceania,Q2,266
LG,6.4,16,32,700,8,1000,South America,Q4,762
Google,5.0,6,64,1000,16,5000,North America,Q4,819
Sony,6.4,2,256,1500,16,500,Asia,Q3,838
Xiaomi,5.5,3,256,1400,16,2000,South America,Q4,142
LG,6.2,3,1024,1500,48,20000,Africa,Q1,278
Xiaomi,6.5,16,32,1100,12,20000,Asia,Q1,383
OnePlus,6.8,3,128,500,12,1000,Europe,Q1,406
OnePlus,7.0,3,64,1100,108,500,Africa,Q4,904
Samsung,6.9,2,64,600,64,1000,Asia,Q3,577
OnePlus,5.8,12,64,1500,48,10000,North America,Q1,340
Xiaomi,4.5,16,128,1500,24,1000,Africa,Q2,211
Huawei,6.9,3,256,1100,108,5000,Africa,Q2,677
OnePlus,7.0,16,64,1000,20,1000,North America,Q2,319
Huawei,6.9,4,512,500,8,10000,South America,Q2,245
Huawei,6.5,4,32,200,16,2000,Oceania,Q1,658
Apple,5.0,16,256,1000,48,500,Africa,Q2,185
Sony,7.0,2,256,600,8,1000,Europe,Q1,748
Sony,7.0,2,64,1200,12,10000,Asia,Q2,783
Samsung,4.7,12,32,700,32,500,North America,Q1,768
LG,6.0,4,512,900,24,100,Europe,Q2,381
LG,5.0,16,512,400,8,1000,North America,Q2,381
Sony,6.8,12,32,100,32,2000,Oceania,Q1,376
Xiaomi,6.9,3,256,500,8,100,Asia,Q3,995
Oppo,6.2,6,32,1000,12,2000,Asia,Q3,830
LG,6.4,4,32,1300,8,5000,North America,Q3,943
Xiaomi,6.8,6,64,1500,20,100,North America,Q4,616
Xiaomi,4.7,8,512,500,108,5000,Europe,Q1,146
Samsung,5.2,16,32,600,20,10000,Europe,Q1,759
Xiaomi,6.9,6,64,1500,20,2000,Oceania,Q2,911
Google,6.7,16,64,900,64,10000,Europe,Q2,897
Motorola,6.7,12,64,400,12,2000,North America,Q1,913
Apple,5.5,16,32,1200,8,500,South America,Q1,273
Oppo,5.2,6,64,1200,16,100,Europe,Q2,425
Apple,6.0,8,128,100,8,20000,South America,Q4,563
Apple,6.9,8,1024,600,8,500,Africa,Q2,311
Huawei,6.2,16,256,300,64,10000,Africa,Q3,534
Samsung,7.0,8,128,800,108,20000,North America,Q3,341
OnePlus,6.8,6,128,1200,16,1000,Asia,Q2,858
Xiaomi,4.5,3,128,1100,24,5000,North America,Q2,412
Xiaomi,6.5,2,256,400,64,1000,North America,Q3,157
Xiaomi,5.2,2,512,1100,8,100,South America,Q2,510
Sony,5.5,12,64,200,20,100,Europe,Q4,461
Huawei,5.2,4,512,1400,32,500,North America,Q1,696
Apple,6.4,12,256,900,108,500,Oceania,Q2,150
Huawei,7.0,4,32,1100,32,10000,Asia,Q4,659
Samsung,6.8,12,512,200,12,500,North America,Q1,160
Motorola,4.7,6,256,100,8,2000,Europe,Q4,698
Motorola,6.0,3,512,200,48,500,Africa,Q3,592
Apple,5.0,16,32,1100,20,100,North America,Q3,542
OnePlus,5.8,4,32,500,24,2000,Asia,Q2,150
Sony,5.0,8,32,800,12,2000,South America,Q2,479
Sony,5.8,2,1024,1000,108,100,South America,Q4,989
Motorola,6.0,16,256,1500,108,2000,South America,Q2,377
Apple,5.0,3,32,1100,48,10000,South America,Q4,113
Samsung,5.2,4,64,900,64,10000,North America,Q2,651
Samsung,5.0,4,256,1000,64,10000,Africa,Q2,540
Xiaomi,6.7,4,32,900,20,20000,Asia,Q2,464
Apple,5.2,6,64,900,12,2000,Oceania,Q1,218
Motorola,6.0,6,256,200,48,100,Europe,Q2,694
Oppo,5.5,2,512,1000,20,100,Oceania,Q3,514
Oppo,6.4,3,1024,900,16,500,South America,Q3,236
Huawei,5.8,8,1024,1500,48,500,Europe,Q3,802
Motorola,6.2,12,64,300,20,10000,North America,Q3,419
Xiaomi,7.0,8,128,400,64,1000,Oceania,Q2,246
Apple,6.8,12,1024,900,20,500,Europe,Q4,947
Oppo,6.4,6,64,900,24,100,Africa,Q1,578
Samsung,5.5,8,1024,200,12,2000,Europe,Q3,500
Google,5.0,12,64,600,32,20000,North America,Q1,724
OnePlus,6.8,4,64,700,12,10000,South America,Q2,676
OnePlus,6.7,8,64,500,8,2000,South America,Q2,525
Xiaomi,7.0,6,128,400,24,20000,Oceania,Q2,709
Xiaomi,4.7,4,128,500,108,2000,Europe,Q2,988
Samsung,6.8,3,64,1000,64,5000,Asia,Q2,806
Google,6.7,16,32,700,64,100,Europe,Q3,878
LG,6.9,16,1024,1400,24,5000,North America,Q4,528
Samsung,4.5,2,1024,700,12,10000,South America,Q4,259
OnePlus,7.0,8,512,100,20,10000,Oceania,Q4,675
Xiaomi,5.8,3,512,1100,32,100,South America,Q4,426
Huawei,6.4,16,128,1500,108,500,Asia,Q3,479
OnePlus,4.5,8,128,300,20,20000,Africa,Q1,981
OnePlus,5.5,3,32,200,48,500,Africa,Q2,810
Google,6.0,4,128,400,108,2000,Oceania,Q2,733
Huawei,4.5,4,128,1000,8,20000,Europe,Q1,200
Apple,6.8,4,64,1300,108,2000,South America,Q1,805
Motorola,5.8,4,512,1300,64,5000,Europe,Q2,472
Google,6.9,6,128,1200,108,5000,North America,Q3,273
Google,6.7,8,512,200,48,10000,Oceania,Q1,627
Apple,4.5,6,32,1200,48,500,Asia,Q1,508
LG,6.7,8,128,1200,48,2000,Europe,Q1,497
Samsung,7.0,16,32,100,108,5000,Africa,Q2,742
Google,5.5,2,512,600,8,500,Asia,Q4,607
Apple,6.7,2,512,300,8,1000,Oceania,Q2,732
Xiaomi,5.0,2,256,600,12,100,South America,Q4,169
Oppo,5.5,3,128,1300,8,100,Europe,Q3,403
Oppo,6.5,12,32,200,12,10000,Asia,Q2,343
Huawei,6.8,6,128,500,8,1000,North America,Q1,985
Samsung,6.5,16,128,1400,48,100,Asia,Q2,515
Sony,4.5,12,128,500,24,5000,Africa,Q2,517
Google,6.7,6,256,300,8,100,Europe,Q2,406
Sony,6.5,12,128,700,32,20000,North America,Q4,847
Apple,7.0,16,32,200,32,2000,Oceania,Q3,618
Xiaomi,7.0,16,32,1500,108,100,Asia,Q4,665
Oppo,4.7,3,128,300,12,20000,Africa,Q2,969
LG,6.9,4,1024,500,20,500,South America,Q3,470
Samsung,6.0,3,1024,300,108,20000,Africa,Q1,737
Google,6.0,4,128,1000,8,10000,North America,Q1,812
Motorola,6.5,4,1024,1200,24,10000,Oceania,Q2,606
Motorola,6.4,16,32,1300,64,10000,North America,Q4,118
Google,4.7,3,256,1000,108,1000,Europe,Q4,519
Samsung,5.0,3,128,300,8,100,Oceania,Q3,712
Oppo,5.0,12,512,400,64,5000,Asia,Q2,650
Apple,4.7,2,1024,500,8,10000,Africa,Q2,525
Xiaomi,5.8,16,1024,1500,64,1000,Europe,Q1,546
Samsung,6.2,4,512,900,8,2000,Asia,Q3,235
Google,6.4,6,128,1000,32,2000,Europe,Q1,545
Xiaomi,6.4,6,512,500,8,1000,North America,Q4,210
Oppo,4.7,4,1024,1100,8,500,North America,Q1,184
OnePlus,5.8,2,512,900,16,1000,Oceania,Q3,667
Xiaomi,4.5,3,1024,1500,64,20000,Oceania,Q4,383
Xiaomi,4.7,16,64,500,48,2000,Asia,Q3,785
Oppo,6.9,16,32,300,16,5000,Africa,Q3,692
LG,6.7,16,128,1200,8,5000,South America,Q3,406
Xiaomi,4.7,3,64,1200,16,20000,Europe,Q2,738
Apple,5.2,2,32,900,64,20000,South America,Q2,976
Google,7.0,8,1024,1000,12,2000,North America,Q3,292
Oppo,4.7,4,512,1100,12,10000,Oceania,Q3,726
Xiaomi,6.5,8,128,200,12,1000,Oceania,Q4,450
Oppo,6.5,3,512,600,24,100,Africa,Q3,655
Google,5.0,12,128,800,8,2000,Africa,Q2,212
Samsung,4.7,3,64,100,12,1000,North America,Q1,292
Apple,5.0,8,32,800,32,1000,Oceania,Q3,158
Sony,5.0,16,512,200,64,2000,North America,Q1,103
Google,6.9,6,32,1200,20,100,Africa,Q2,578
Motorola,4.7,2,32,1200,20,1000,Asia,Q1,264
Google,6.2,4,128,1300,108,100,Africa,Q2,438
Apple,5.5,16,1024,1000,12,100,Asia,Q3,838
Huawei,6.4,8,128,200,108,5000,Europe,Q2,456
Google,6.4,8,32,900,32,20000,Europe,Q2,935
Sony,4.5,4,256,800,48,5000,South America,Q4,952
OnePlus,5.0,3,128,500,48,100,Europe,Q3,600
Apple,6.4,12,128,1500,24,10000,South America,Q4,692
Huawei,6.5,12,512,1000,8,500,North America,Q1,260
Google,6.8,2,256,1300,64,1000,Europe,Q4,828
Oppo,6.2,8,128,500,48,20000,Oceania,Q4,216
Motorola,6.8,3,1024,900,108,10000,Europe,Q1,657
OnePlus,5.2,12,512,1200,8,20000,North America,Q2,345
Motorola,6.8,2,32,300,32,100,Africa,Q1,586
Samsung,6.0,2,512,300,108,2000,Oceania,Q4,771
Google,7.0,3,64,600,108,500,Europe,Q2,876
Xiaomi,5.2,2,128,1500,16,100,Europe,Q1,387
Huawei,6.4,3,32,600,12,20000,Europe,Q3,802
LG,6.2,16,512,700,16,100,Europe,Q1,842
Motorola,6.8,8,32,800,12,10000,South America,Q3,824
Xiaomi,6.5,6,1024,500,16,5000,North America,Q2,787
Xiaomi,4.5,6,256,1300,20,100,Europe,Q4,649
OnePlus,6.5,4,256,1100,20,1000,Asia,Q2,241
OnePlus,6.0,16,256,1200,64,1000,North America,Q1,304
Motorola,6.9,12,1024,1500,8,2000,South America,Q4,263
Sony,5.0,2,128,800,108,500,Africa,Q1,161
Huawei,6.8,3,128,600,64,500,Oceania,Q2,159
Motorola,6.2,12,32,600,20,2000,Oceania,Q1,569
Xiaomi,6.7,12,64,600,32,20000,North America,Q2,278
Huawei,5.8,2,1024,900,24,5000,Africa,Q2,147
Huawei,5.2,8,128,300,12,5000,North America,Q3,536
Xiaomi,6.0,12,32,500,48,500,South America,Q3,624
Xiaomi,6.2,8,256,100,8,500,South America,Q4,642
Huawei,4.5,4,128,200,16,500,South America,Q3,570
Xiaomi,7.0,16,32,1400,64,100,Europe,Q3,804
Xiaomi,6.5,2,512,1200,108,2000,Africa,Q1,857
Google,6.5,12,256,100,16,10000,Oceania,Q4,556
Huawei,6.2,16,64,200,24,10000,Asia,Q2,761
Google,6.7,16,256,400,64,500,Africa,Q1,243
OnePlus,6.9,2,256,400,16,500,Asia,Q3,244
Huawei,6.0,4,128,1200,20,20000,Europe,Q1,241
Samsung,6.8,4,128,1300,12,5000,Oceania,Q1,165
Samsung,6.7,6,512,400,108,500,Africa,Q1,757
Oppo,6.5,4,1024,900,108,5000,South America,Q3,853
Motorola,6.4,4,256,700,8,500,Europe,Q1,754
LG,5.2,12,256,500,32,20000,Oceania,Q1,208
Oppo,6.2,2,128,900,12,1000,Europe,Q2,129
Apple,6.7,2,128,400,20,10000,Oceania,Q4,786
Apple,6.9,4,32,100,12,100,Africa,Q3,241
Huawei,7.0,12,1024,900,12,20000,South America,Q4,333
OnePlus,6.4,8,64,700,108,100,Europe,Q1,616
Oppo,6.2,3,1024,300,8,20000,South America,Q2,173
Oppo,6.0,6,32,1100,16,1000,South America,Q4,152
OnePlus,6.5,8,32,1400,32,100,Oceania,Q2,333
Samsung,6.8,4,512,100,24,5000,Africa,Q3,633
Xiaomi,6.9,8,64,800,24,10000,Europe,Q1,711
LG,6.9,12,512,1400,12,2000,Africa,Q4,657
Xiaomi,6.2,3,32,100,64,10000,Europe,Q2,940
Xiaomi,5.2,16,64,100,20,500,Europe,Q1,522
Motorola,6.2,2,1024,1100,12,2000,North America,Q3,235
Xiaomi,6.8,8,256,1200,32,20000,Asia,Q3,667
Google,6.2,4,32,1500,24,20000,Oceania,Q4,421
Apple,6.4,16,512,200,64,5000,North America,Q3,339
OnePlus,6.4,6,32,1400,64,5000,Europe,Q1,432
Samsung,6.0,16,128,1100,24,500,South America,Q4,285
Motorola,6.0,6,1024,800,12,10000,Africa,Q1,932
Apple,5.5,16,128,1200,32,2000,Africa,Q4,159
Xiaomi,4.7,12,512,1300,16,500,Europe,Q4,550
Sony,6.9,16,256,1100,24,10000,South America,Q4,969
OnePlus,4.7,8,1024,500,20,20000,Europe,Q2,557
OnePlus,4.7,16,64,700,108,2000,Asia,Q1,193
OnePlus,5.8,2,64,1500,16,10000,South America,Q2,632
Oppo,5.5,2,128,300,12,100,Asia,Q1,273
Samsung,6.4,16,256,1100,8,500,Oceania,Q1,762
Google,5.0,3,1024,1500,108,2000,Europe,Q4,685
Xiaomi,5.8,3,64,1000,48,500,Oceania,Q2,915
Oppo,5.5,3,256,700,108,500,Oceania,Q3,171
Huawei,5.5,16,64,200,48,10000,Africa,Q4,373
Google,7.0,2,256,200,20,20000,Oceania,Q1,527
Sony,6.7,6,32,400,24,2000,North America,Q4,164
Oppo,6.7,2,256,400,12,1000,Europe,Q4,191
Samsung,6.2,4,256,200,16,100,South America,Q3,100
Google,6.9,3,64,1100,8,10000,Africa,Q3,414
Apple,5.0,3,1024,1400,48,5000,Asia,Q3,288
Sony,4.7,4,64,500,48,100,Europe,Q1,609
Samsung,5.2,6,128,1500,24,20000,Europe,Q3,202
Samsung,6.8,3,512,1200,16,1000,Africa,Q4,643
Google,6.7,6,1024,900,20,20000,Asia,Q4,843
LG,6.4,2,1024,100,64,5000,Oceania,Q3,982
Huawei,6.5,6,1024,1100,24,500,Oceania,Q2,297
Huawei,6.5,12,128,400,24,1000,Europe,Q2,348
Huawei,6.8,16,1024,700,12,20000,Oceania,Q2,192
LG,6.4,2,1024,1200,32,20000,Oceania,Q4,323
LG,6.7,12,256,200,64,20000,South America,Q3,284
Oppo,6.4,12,128,700,16,1000,Oceania,Q3,411
Samsung,6.5,12,1024,1300,12,2000,South America,Q1,265
Huawei,4.7,4,1024,100,16,100,Asia,Q1,937
Google,6.7,2,32,200,8,500,South America,Q3,252
Sony,5.5,16,128,1000,64,10000,Asia,Q1,753
LG,6.5,3,256,700,64,1000,Oceania,Q4,689
Google,6.8,2,256,500,20,100,North America,Q4,999
Sony,4.5,6,256,800,12,2000,Asia,Q4,652
Samsung,5.5,16,64,500,20,1000,Europe,Q1,311
Oppo,4.7,6,512,300,16,20000,Oceania,Q1,508
Samsung,6.4,16,64,1200,20,500,Oceania,Q3,458
Sony,4.5,3,64,300,108,1000,Africa,Q4,231
Motorola,5.0,12,32,1400,16,10000,North America,Q4,508
Google,6.4,16,1024,600,48,20000,Europe,Q1,526
Huawei,6.8,16,512,1000,64,100,North America,Q4,549
Xiaomi,5.5,8,128,200,108,1000,North America,Q2,637
Samsung,5.2,12,32,1300,64,1000,Oceania,Q1,983
LG,5.0,2,1024,400,20,10000,North America,Q4,782
Oppo,5.0,6,512,1000,32,20000,South America,Q1,862
OnePlus,6.9,16,64,900,32,500,Europe,Q2,459
OnePlus,6.9,2,128,600,12,1000,Oceania,Q1,773
OnePlus,5.8,3,128,900,20,10000,Europe,Q3,472
LG,7.0,3,32,300,64,2000,North America,Q3,879
Huawei,5.2,12,64,300,108,10000,Asia,Q3,671
OnePlus,5.8,3,256,800,32,2000,Asia,Q3,249
Sony,4.7,8,128,600,64,5000,South America,Q2,814
Google,4.5,16,128,700,32,5000,South America,Q1,345
Apple,6.0,2,256,1300,32,2000,Oceania,Q2,457
Xiaomi,5.8,2,256,200,16,500,Asia,Q1,798
Apple,6.5,4,64,800,48,100,Africa,Q2,179
Apple,5.2,16,512,1000,24,5000,South America,Q3,916
LG,6.7,4,512,1200,108,1000,Africa,Q2,974
Xiaomi,6.4,3,64,1200,8,2000,Europe,Q2,623
OnePlus,4.7,16,32,1000,20,500,Oceania,Q4,144
LG,6.7,4,256,400,20,1000,Asia,Q3,982
Xiaomi,6.7,4,32,600,8,20000,Africa,Q1,453
Samsung,6.7,6,32,1300,12,1000,North America,Q1,475
Sony,6.9,8,256,1500,12,100,Asia,Q2,218
Motorola,7.0,16,1024,500,8,500,Oceania,Q3,620
Google,4.7,2,64,900,32,100,North America,Q4,761
Motorola,6.0,8,1024,1200,108,10000,South America,Q1,132
Oppo,5.0,8,64,1500,12,20000,South America,Q3,817
Google,5.2,2,256,1500,16,20000,South America,Q4,297
OnePlus,6.5,3,256,1300,20,1000,North America,Q4,681
Oppo,6.5,8,256,600,8,2000,Africa,Q2,496
Huawei,6.5,16,128,100,20,5000,North America,Q3,430
Sony,7.0,2,128,200,32,100,South America,Q3,773
Samsung,6.0,16,64,1500,12,500,Asia,Q4,354
Apple,4.7,3,128,700,24,20000,South America,Q1,106
Xiaomi,4.5,12,32,300,12,5000,South America,Q3,616
LG,4.5,12,1024,1300,32,2000,South America,Q3,165
Samsung,5.5,8,128,500,16,500,Africa,Q4,327
Xiaomi,6.9,12,256,400,64,500,Oceania,Q4,608
Google,5.0,3,1024,1200,20,100,Europe,Q3,328
Samsung,4.7,12,64,1200,108,100,South America,Q4,650
Google,4.5,4,256,1000,24,20000,Africa,Q1,417
LG,4.5,3,512,1500,108,5000,Africa,Q3,629
Samsung,7.0,6,128,500,32,2000,North America,Q3,972
Xiaomi,7.0,6,128,1000,64,2000,North America,Q3,208
Motorola,4.7,12,32,1400,108,1000,Africa,Q3,526
Sony,6.0,16,64,1100,20,500,South America,Q4,798
Motorola,6.4,2,128,100,16,10000,Asia,Q2,647
Samsung,7.0,16,512,800,12,100,Asia,Q1,866
Sony,5.2,4,256,1200,32,20000,Europe,Q3,632
Motorola,7.0,16,128,800,64,10000,Asia,Q3,616
OnePlus,5.2,2,128,300,20,500,Asia,Q1,287
Oppo,5.2,16,32,1500,8,5000,Africa,Q2,562
Huawei,7.0,4,64,900,48,100,North America,Q4,120
Samsung,7.0,4,128,200,108,2000,South America,Q2,602
OnePlus,6.2,12,256,200,64,1000,Oceania,Q3,582
Google,4.5,16,512,1100,108,20000,South America,Q3,203
Oppo,7.0,6,32,1500,32,1000,Africa,Q2,445
Oppo,5.2,2,512,1100,48,500,North America,Q4,370
Huawei,6.2,4,1024,400,12,10000,South America,Q4,614
OnePlus,6.8,4,1024,800,24,20000,Oceania,Q2,740
Google,5.5,4,64,100,32,5000,South America,Q3,299
Google,4.7,2,128,1100,48,1000,Oceania,Q1,210
Oppo,6.2,12,128,1500,64,1000,Asia,Q2,570
Oppo,6.0,6,64,1400,32,10000,Asia,Q4,400
OnePlus,5.8,4,64,300,8,20000,Asia,Q2,881
Huawei,5.2,16,512,600,8,2000,South America,Q1,905
Oppo,5.5,6,512,100,48,2000,North America,Q1,895
Samsung,6.5,8,32,1400,48,20000,Oceania,Q2,835
Samsung,6.8,6,64,100,48,100,Africa,Q3,200
Motorola,7.0,6,32,1400,32,10000,Europe,Q4,659
Samsung,5.0,3,32,1300,12,1000,Africa,Q2,615
Apple,6.7,12,128,500,24,1000,Asia,Q2,423
Apple,5.8,8,512,600,48,10000,Asia,Q1,110
Xiaomi,6.2,16,256,200,8,100,South America,Q4,885
LG,6.7,4,64,100,12,1000,Africa,Q3,525
Sony,7.0,4,512,600,12,10000,South America,Q3,350
Oppo,6.9,12,256,400,32,2000,Africa,Q1,992
OnePlus,6.0,8,64,500,32,100,Oceania,Q4,593
Samsung,5.5,2,64,1400,24,10000,Europe,Q2,851
Xiaomi,4.5,2,64,100,48,5000,Oceania,Q3,725
LG,6.7,6,64,900,48,2000,Europe,Q2,412
Apple,6.4,12,128,700,48,20000,South America,Q2,646
Huawei,6.4,2,512,1500,24,2000,Europe,Q4,471
Xiaomi,6.0,16,512,1300,64,1000,Africa,Q1,899
Apple,5.0,12,128,1200,16,20000,Europe,Q4,640
Oppo,4.5,12,1024,300,24,20000,Europe,Q3,559
Oppo,6.8,16,32,900,64,20000,North America,Q2,449
Samsung,6.5,16,32,400,32,100,Asia,Q3,159
Google,6.5,8,64,200,16,5000,Africa,Q3,962
Oppo,6.4,4,512,1100,48,10000,Oceania,Q1,567
Samsung,6.7,3,128,100,32,10000,Asia,Q3,233
OnePlus,5.8,4,128,1300,16,100,South America,Q4,624
Samsung,7.0,16,256,1400,48,100,Europe,Q4,903
Oppo,4.7,8,128,800,12,100,North America,Q1,138
OnePlus,6.8,3,1024,500,108,10000,Asia,Q3,133
Huawei,6.7,8,64,1200,64,10000,Africa,Q3,168
LG,5.0,16,64,200,8,5000,South America,Q1,297
OnePlus,5.5,2,512,100,20,10000,North America,Q2,325
Sony,4.5,8,512,100,32,500,South America,Q3,879
Oppo,6.2,3,256,900,16,1000,Africa,Q2,451
Huawei,6.9,6,512,700,32,5000,North America,Q1,606
Google,6.8,4,256,600,24,10000,South America,Q4,392
Xiaomi,4.5,6,64,1400,16,10000,Oceania,Q4,674
Oppo,5.8,3,32,1400,24,2000,Africa,Q1,212
Google,6.2,2,1024,800,108,100,Europe,Q4,702
Apple,5.0,16,32,1000,8,500,South America,Q2,948
Xiaomi,6.7,3,256,900,12,2000,Asia,Q1,377
Google,5.2,3,64,600,48,100,Oceania,Q2,123
Motorola,5.8,12,1024,600,16,500,Africa,Q1,703
OnePlus,6.0,16,256,1500,24,5000,Asia,Q3,127
Motorola,5.0,4,256,1100,32,20000,Oceania,Q1,101
Xiaomi,6.0,3,128,600,20,100,Asia,Q3,932
Sony,6.0,8,256,100,24,5000,Oceania,Q2,357
Oppo,5.5,4,32,600,108,10000,Oceania,Q2,903
Oppo,7.0,16,1024,700,108,1000,Europe,Q1,173
Apple,7.0,16,1024,1100,20,1000,Africa,Q2,131
LG,6.8,8,32,700,48,500,Asia,Q1,298
Motorola,6.9,2,512,200,108,2000,Asia,Q3,714
OnePlus,5.8,12,128,300,8,100,South America,Q1,215
Apple,4.7,6,256,600,64,500,Europe,Q1,925
Oppo,6.8,12,128,100,12,10000,Africa,Q3,243
Motorola,6.9,2,1024,100,108,2000,Europe,Q1,669
OnePlus,6.5,4,1024,1400,48,100,Asia,Q4,917
Motorola,4.7,4,64,600,24,1000,Africa,Q1,680
Samsung,4.7,8,256,1000,20,10000,South America,Q3,548
Google,4.5,4,512,500,20,1000,Oceania,Q3,449
LG,6.4,6,1024,1400,64,5000,South America,Q1,218
Huawei,6.7,8,256,200,16,10000,Asia,Q4,686
Samsung,5.2,4,128,500,20,20000,Europe,Q3,335
Google,5.2,2,256,400,24,5000,Africa,Q4,876
Samsung,6.5,4,32,600,64,5000,North America,Q4,749
Motorola,5.2,4,256,600,16,500,Asia,Q2,291
Motorola,6.4,3,64,1400,64,5000,Africa,Q4,944
Sony,5.5,2,512,1000,32,100,North America,Q1,849
Motorola,5.2,4,32,1000,24,1000,Africa,Q3,953
Motorola,6.5,12,64,1500,12,500,North America,Q4,841
Huawei,6.7,16,32,400,48,2000,Europe,Q4,177
Sony,6.2,16,256,700,16,100,Africa,Q4,353
OnePlus,5.2,16,128,1100,12,10000,Oceania,Q3,344
OnePlus,6.7,16,256,700,48,1000,Africa,Q3,195
Google,6.8,6,128,300,32,2000,Africa,Q3,261
